PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;60326;1350667;53907;1350668-1350667;411548;413654-1350668;50192473;1559554-413654
;;60321;1403409;48203;1403410-1403409;3127;1379528-1403410;50189306;1559823-1379528
;;60339;1350760;48211;1350759-1350760;3141;1402820-1350759;50192442;1559576-1402820
;;60333;1116426;51602;1116425-1116426;477058;1396943-1116425;50151873;1381832-1396943
;;60331;1415503;53873;53873-1415503;411590;1415496-53873;50120884;1414263-1415496
;;60349;1328733;51356;1328734-1328733;8573;1328735-1328734;50189483;1559700-1328735
;;60346;60346;43064;43064-60346;9865;1396259-43064;50174692;1396181-1396259
;;60340;60340;48207;48207-60340;3133;1379522-48207;50189269;1559843-1379522
;;60504;60504;43585;43585-60504;20115;20115-43585;50205568;1567953-20115
;;60504;60504;43585;43585-60504;20115;20115-43585;50192468;1559559-20115
;;60479;1353737;48212;1353736-1353737;3145;1353738-1353736;50189283;1559834-1353738
;;60476;60476;48336;48336-60476;10484;1522480-48336;50205980;1503474-1522480
;;60475;60475;43910;43910-60475;10301;10301-43910;50093500;1414828-10301
;;60485;60485;48209;48209-60485;3137;1468889-48209;50192456;1559570-1468889
;;60484;796580;424400;796574-796580;36656;1414875-796574;50094096;1433367-1414875
;;60484;796580;42757;42757-796580;16942;1414879-42757;50094291;1414339-1414879
;;60496;60496;48335;48335-60496;10485;1468797-48335;50205978;1503482-1468797
;;60403;60403;48337;48337-60403;477050;1469113-48337;50151982;1184290-1469113
;;60403;60403;48337;48337-60403;35361;1469109-48337;50093833;1414607-1469109
;;60407;60407;42744;42744-60407;35312;1469154-42744;50192734;1481609-1469154
;;60407;60407;42744;42744-60407;35362;1469150-42744;50151985;1184285-1469150
;;60407;60407;42744;42744-60407;35362;1469150-42744;50093837;1414605-1469150
;;60415;60415;51345;51345-60415;419372;720675-51345;50189491;1559692-720675
;;60412;60412;44921;44921-60412;3656;1468918-44921;50151986;1184286-1468918
;;60410;1300846;52925;1300842-1300846;11635;1300843-1300842;50020519;1184484-1300843
;;60410;1300846;52925;1300842-1300846;11635;1300843-1300842;50192913;1481261-1300843
;;60410;1300846;52925;1300842-1300846;11636;996587-1300842;50020520;1184486-996587
;;73737;73737;58431;58431-73737;23081;1379760-58431;50094310;1414335-1379760
;;60424;60424;45087;45087-60424;426023;1403847-45087;50109065;1414294-1403847
;;60424;60424;45087;45087-60424;426023;1403847-45087;50189489;1559694-1403847
;;60424;60424;45087;45087-60424;426023;1403847-45087;50206119;1503102-1403847
;;60424;60424;45087;45087-60424;426023;1403847-45087;50021268;1188823-1403847
;;73741;721010;48217;721009-721010;3164;1385541-721009;50192349;1559635-1385541
;;60429;60429;53055;53055-60429;11989;827212-53055;50189352;1559791-827212
;;477077;1135192;477014;1133813-1135192;477013;1133812-1133813;50152049;1184254-1133812
;;60442;60442;42574;42574-60442;486126;1441597-42574;50195616;1463332-1441597
;;60442;60442;42574;42574-60442;39853;877878-42574;50094332;1414324-877878
;;60457;839029;59005;59005-839029;29403;1469435-59005;50192421;1559587-1469435
;;60452;1349909;43378;1349910-1349909;3092;1349911-1349910;50205508;1504734-1349911
;;60469;60469;48341;48341-60469;10482;1469303-48341;50094135;1414426-1469303
;;60469;60469;48341;48341-60469;3406;1469306-48341;50192542;1481997-1469306
;;60466;60466;44421;44421-60466;11968;11968-44421;50189311;1485771-11968
;;60466;60466;44421;44421-60466;11968;11968-44421;50205936;1503582-11968
;;60466;60466;44421;44421-60466;11968;11968-44421;50021122;1134362-11968
;;60604;60604;53057;53057-60604;11992;1215242-53057;50189354;1559790-1215242
;;60616;60616;42350;42350-60616;427812;1329546-42350;50192867;1559288-1329546
;;60616;60616;42350;42350-60616;427812;1329546-42350;50120202;1184447-1329546
;;60616;60616;42350;42350-60616;11661;1434426-42350;50192865;1559289-1434426
;;60616;60616;42350;42350-60616;11661;1434426-42350;50020561;1184495-1434426
;;60622;1325285;53061;1325284-1325285;12016;1134793-1325284;50169978;1433295-1134793
;;60622;1325285;53061;1325284-1325285;12016;1134793-1325284;50021206;1188858-1134793
;;60622;1325285;53061;1325284-1325285;12015;1433675-1325284;50169975;1433298-1433675
;;60621;796589;43550;796588-796589;424304;1469200-796588;50111839;1414284-1469200
;;60621;796589;43550;796588-796589;462013;973361-796588;50192589;1481893-973361
;;60621;796589;43550;796588-796589;21739;21739-796588;50192496;1482089-21739
;;60621;796589;43550;796588-796589;21739;21739-796588;50205476;1504822-21739
;;60597;60597;44795;44795-60597;3980;1375560-44795;50205972;1503496-1375560
;;60597;60597;44795;44795-60597;3981;1325242-44795;50189417;1559745-1325242
;;60597;60597;44795;44795-60597;3981;1325242-44795;50169985;1433289-1325242
;;60597;60597;44795;44795-60597;3981;1325242-44795;50205973;1503494-1325242
;;60592;844871;52947;844870-844871;21754;21754-844870;50020618;1184448-21754
;;60592;844871;52947;844870-844871;3100;1368468-844870;50189200;1559892-1368468
;;60592;844871;52947;844870-844871;3100;1368468-844870;50205617;1504448-1368468
;;60592;844871;52947;844870-844871;3100;1368468-844870;50093501;1414827-1368468
;;60592;844871;52947;844870-844871;3100;1368468-844870;50020617;1368449-1368468
;;60514;1270050;480963;1270043-1270050;29392;1435087-1270043;50192736;1559389-1435087
;;60514;1270050;44353;1270049-1270050;427813;1522539-1270049;50093792;1433379-1522539
;;60516;1373253;44668;1373252-1373253;3103;1373248-1373252;50189375;1559773-1373248
;;60516;1373253;44668;1373252-1373253;3103;1373248-1373252;50093504;1414824-1373248
;;73829;984032;58550;984031-984032;462101;1447699-984031;50173569;1437720-1447699
;;60528;60528;48323;48323-60528;3352;1469297-48323;50205945;1503550-1469297
;;60528;60528;48323;48323-60528;3351;1469294-48323;50192561;1559500-1469294
;;60536;1085831;473052;1230079-1085831;10181;1396565-1230079;50176182;1553490-1396565
;;60536;1085831;473052;1230079-1085831;2279;1305853-1230079;50118644;1200588-1305853
